280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
10,90,170,250,330,410,490,570
10,90,170,250,330,410,490,570
10,90,170,250,330,410,490,570
10,90,170,250,330,410,490,570
10,90,170,250,330,410,490,570
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
570,490,410,330,250,170,90,10
570,490,410,330,250,170,90,10
570,490,410,330,250,170,90,10
570,490,410,330,250,170,90,10
570,490,410,330,250,170,90,10
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
280,280,280,280,280,280,280,280
