10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10
90,10,10,10,10,10,10,10
90,10,10,10,10,10,10,10
170,90,10,10,10,10,10,10
170,90,10,10,10,10,10,10
250,170,90,10,10,10,10,10
250,170,90,10,10,10,10,10
330,250,170,90,10,10,10,10
330,250,170,90,10,10,10,10
410,330,250,170,90,10,10,10
410,330,250,170,90,10,10,10
490,410,330,250,170,90,10,10
490,410,330,250,170,90,10,10
570,490,410,330,250,170,90,10
570,490,410,330,250,170,90,10
490,570,490,410,330,250,170,90
490,570,490,410,330,250,170,90
410,490,570,490,410,330,250,170
410,490,570,490,410,330,250,170
330,410,490,570,490,410,330,250
330,410,490,570,490,410,330,250
250,330,410,490,570,490,410,330
250,330,410,490,570,490,410,330
170,250,330,410,490,570,490,410
170,250,330,410,490,570,490,410
90,170,250,330,410,490,570,490
90,170,250,330,410,490,570,490
10,90,170,250,330,410,490,570
10,90,170,250,330,410,490,570
10,10,90,170,250,330,410,490
10,10,90,170,250,330,410,490
10,10,10,90,170,250,330,410
10,10,10,90,170,250,330,410
10,10,10,10,90,170,250,330
10,10,10,10,90,170,250,330
10,10,10,10,10,90,170,250
10,10,10,10,10,90,170,250
10,10,10,10,10,10,90,170
10,10,10,10,10,10,90,170
10,10,10,10,10,10,10,90
10,10,10,10,10,10,10,90
10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10
